,id,code,Club,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
0,1,3,Arsenal,ARS,4,1190,1220,1110,1140,1100,1170
1,2,7,Aston Villa,AVL,3,1130,1180,1130,1140,1130,1160
2,3,94,Brentford,BRE,3,1080,1100,1090,1130,1100,1150
3,4,36,Brighton,BHA,3,1140,1180,1140,1180,1090,1130
4,5,90,Burnley,BUR,2,1050,1060,1050,1070,1060,1100
5,6,8,Chelsea,CHE,5,1340,1350,1320,1350,1340,1320
6,7,31,Crystal Palace,CRY,3,1060,1100,1100,1140,1090,1120
7,8,11,Everton,EVE,4,1190,1230,1140,1150,1150,1210
8,9,13,Leicester City,LEI,3,1170,1190,1100,1120,1120,1160
9,10,2,Leeds United,LEE,3,1090,1130,1050,1060,1110,1150
10,11,14,Liverpool,LIV,5,1340,1350,1290,1330,1350,1360
11,12,43,Manchester City,MCI,5,1340,1360,1330,1350,1340,1350
12,13,1,Manchester United,MUN,4,1280,1320,1200,1240,1250,1300
13,14,4,Newcastle United,NEW,2,1050,1070,1030,1040,1100,1140
14,15,45,Norwich City,NOR,2,1010,1030,1000,1020,1000,1040
15,16,20,Southampton,SOU,3,1070,1090,1090,1120,1090,1100
16,17,6,Tottenham,TOT,3,1180,1210,1110,1130,1120,1170
17,18,57,Watford,WAT,2,1050,1060,1040,1060,1040,1050
18,19,21,West Ham,WHU,4,1240,1250,1120,1140,1260,1280
19,20,39,Wolves,WOL,3,1090,1100,1100,1120,1090,1120
