,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,selected_by_percent,chance_of_playing_this_round,clean_sheets,saves,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_selected_by_percent,soccer_one_chance_of_playing_this_round,soccer_one_clean_sheets,soccer_one_saves,soccer_one_form,soccer_one_value_season,aggregate
4,Emiliano Martínez,Goalkeeper,Aston Villa,30,202811,30,5.2,6.0,28.6,100.0,3,17,5.2,6.6,,2021-08-30T07:30:12.022094Z,5.5,1.85387659711325,1.7709170340765816,1.9802373069145949,,2.2845046783235463,0.8734362170289465,1.9016222519070995,1.6237300680616613,1.0240270127854734
15,Aaron Ramsdale,Goalkeeper,Arsenal,559,233934,559,6.5,7.199999999999999,9.4,,3,9,6.0,6.24,,,4.6,2.50951588145818,2.3081199000621555,0.1932095395077125,,2.2845046783235463,0.042955879526013756,2.3135516286040625,1.4890641806247078,0.9284101406755316
9,José Sá,Goalkeeper,Wolves,475,212442,475,6.0,5.159999999999999,5.2,,2,21,5.5,7.199999999999999,,,5.0,2.257346925940899,1.3948750278866797,-0.19770278461254298,,1.310230624332622,1.2886763857804129,2.0560957681684604,1.8481732137899176,0.829807930107204
0,Hugo Lloris,Goalkeeper,Tottenham,353,167948,353,2.0,6.0,19.0,,3,25,2.0,7.68,,,5.5,0.2399952818026533,1.7709170340765816,1.0867234232111536,,2.2845046783235463,1.7039165545318793,0.25390474511924854,2.027727730372523,0.7806407872864654
18,Alex McCarthy,Goalkeeper,Southampton,334,189324,334,3.5,3.9599999999999995,4.2,,2,19,4.5,6.119999999999999,,,4.5,0.9965021483544956,0.8576721619011058,-0.29077714749831807,,1.310230624332622,1.0810563014046797,1.541184047297257,1.4441755514790562,0.5783369739392415
5,Kasper Schmeichel,Goalkeeper,Leicester City,200,163587,200,2.0,3.5999999999999996,36.6,,1,23,2.0,4.919999999999999,,,5.1,0.2399952818026533,0.6965113021054338,2.7248322100007956,,0.33595657034169796,1.4962964701561459,0.25390474511924854,0.9952892600225434,0.5618988199623766
3,Jordan Pickford,Goalkeeper,Everton,170,204935,170,3.0,4.2,10.4,100.0,2,19,3.0,5.04,,2021-09-18T22:30:08.463937Z,5.0,0.7443331928372148,0.9651127350982209,0.2862839023934876,,1.310230624332622,1.0810563014046797,0.768816465990452,1.040177889168195,0.5163342592687393
11,Illan Meslier,Goalkeeper,Leeds United,199,242656,199,3.7,3.24,5.8,,1,28,3.2,4.56,,,5.0,1.0973697305614079,0.5353504423097618,-0.14185816688107794,,0.33595657034169796,2.015346681095479,0.8717988101646927,0.8606233725855897,0.4645489533481293
12,Tim Krul,Goalkeeper,Norwich City,314,170597,314,3.8,2.76,2.6,,1,21,3.8,4.32,,,4.5,1.1478035216648639,0.320469295915532,-0.43969612811555825,,0.33595657034169796,1.2886763857804129,1.1807458426874147,0.7708461142942874,0.38373346688072085
1,Nick Pope,Goalkeeper,Burnley,112,203841,112,2.8,3.12,5.8,,1,20,2.8,3.9599999999999995,,,5.4,0.6434656106303024,0.4816301557112044,-0.14185816688107794,,0.33595657034169796,1.1848663435925462,0.6658341218162112,0.6361802268573333,0.31717290517235147
10,Ben Foster,Goalkeeper,Watford,376,163155,376,1.5,3.24,42.8,100.0,0,11,2.0,2.4,,2021-08-27T11:30:11.421385Z,4.0,-0.012173673714627426,0.5353504423097618,3.3018932598926005,,-0.6383174836492261,0.2505759639017469,0.25390474511924854,0.05262804796386698,0.3119884418186143
14,Karl Darlow,Goalkeeper,Newcastle United,294,193331,294,2.3,4.44,0.8,100.0,0,13,2.8,2.88,,2021-08-13T10:00:09.271609Z,4.5,0.39129665511302164,1.0725533082953358,-0.6072299813099535,,-0.6383174836492261,0.4581960482774801,0.6658341218162112,0.23218256454647204,0.1312096027574451
